audioUrl,author,authorLink,duration,id,imageUrl,shareUrl,sourceFile,tags,title,url,videoUrl
https://cdn1.suno.ai/c246a995-da4c-4b42-a67f-fa56317225bb.mp3,,,,c246a995-da4c-4b42-a67f-fa56317225bb,,https://suno.com/s/c246a995,suno-songs.html,,Sammy's Serenade (Remastered x2)2-1,https://suno.com/song/c246a995-da4c-4b42-a67f-fa56317225bb,
https://cdn1.suno.ai/ba23ecaa-5d64-45b9-8bd6-fef8cacb95a9.mp3,,,,ba23ecaa-5d64-45b9-8bd6-fef8cacb95a9,,https://suno.com/s/ba23ecaa,suno-songs.html,,in This aLLey Where i HiDe (Remastered x2),https://suno.com/song/ba23ecaa-5d64-45b9-8bd6-fef8cacb95a9,
https://cdn1.suno.ai/f41bc272-b074-4386-8a8b-6c51971c45f3.mp3,,,,f41bc272-b074-4386-8a8b-6c51971c45f3,,https://suno.com/s/f41bc272,suno-songs.html,,in This aLLey Where i HiDe (Remastered x2),https://suno.com/song/f41bc272-b074-4386-8a8b-6c51971c45f3,
https://cdn1.suno.ai/c47ab3b7-7482-4c0a-8c96-df53531990d2.mp3,,,,c47ab3b7-7482-4c0a-8c96-df53531990d2,,https://suno.com/s/c47ab3b7,suno-songs.html,,Willow_whispers-feelers-chill (Remastered),https://suno.com/song/c47ab3b7-7482-4c0a-8c96-df53531990d2,
https://cdn1.suno.ai/103ac6c1-49e9-4910-991b-b724759178d5.mp3,,,,103ac6c1-49e9-4910-991b-b724759178d5,,https://suno.com/s/103ac6c1,suno-songs.html,,Willow_whispers-feelers-chill (Remastered),https://suno.com/song/103ac6c1-49e9-4910-991b-b724759178d5,
https://cdn1.suno.ai/41f95689-1cce-49ed-aec3-f5323dda5eb9.mp3,,,,41f95689-1cce-49ed-aec3-f5323dda5eb9,,https://suno.com/s/41f95689,suno-songs.html,,in_this_alley_where_i_Hide LIVE_-_CuT-og,https://suno.com/song/41f95689-1cce-49ed-aec3-f5323dda5eb9,
https://cdn1.suno.ai/aa5ec9fe-9d8c-4ab9-b190-6300a69a461e.mp3,,,,aa5ec9fe-9d8c-4ab9-b190-6300a69a461e,,https://suno.com/s/aa5ec9fe,suno-songs.html,,Willow_whispers-feelers-chill,https://suno.com/song/aa5ec9fe-9d8c-4ab9-b190-6300a69a461e,
https://cdn1.suno.ai/789de123-f485-47ce-9b3a-df3310a03808.mp3,,,,789de123-f485-47ce-9b3a-df3310a03808,,https://suno.com/s/789de123,suno-songs.html,,Willow_whispers-feelers-chill,https://suno.com/song/789de123-f485-47ce-9b3a-df3310a03808,
https://cdn1.suno.ai/c2e64fe8-dbf8-413f-85c5-01172566a25b.mp3,,,,c2e64fe8-dbf8-413f-85c5-01172566a25b,,https://suno.com/s/c2e64fe8,suno-songs.html,,Willow_whispers-feelers-chill,https://suno.com/song/c2e64fe8-dbf8-413f-85c5-01172566a25b,
https://cdn1.suno.ai/f9899593-8ed1-467d-928f-958ad9915683.mp3,,,,f9899593-8ed1-467d-928f-958ad9915683,,https://suno.com/s/f9899593,suno-songs.html,,Willow_whispers-feelers-chill,https://suno.com/song/f9899593-8ed1-467d-928f-958ad9915683,
https://cdn1.suno.ai/cdd15605-9405-441a-b1c2-3e6febb26865.mp3,,,,cdd15605-9405-441a-b1c2-3e6febb26865,,https://suno.com/s/cdd15605,suno-songs.html,,Willow_whispers-feelers-chill,https://suno.com/song/cdd15605-9405-441a-b1c2-3e6febb26865,
